domain,status,premium,reg_price,renew_price
boff.hair,AVAILABLE,0,1.54,12.98
boff.monster,AVAILABLE,0,1.54,12.98
boff.rest,AVAILABLE,0,1.54,26.26
boff.skin,AVAILABLE,0,1.54,12.98
boff.surf,AVAILABLE,0,1.54,26.26
boffin.lol,AVAILABLE,0,1.54,26.26
boffin.space,AVAILABLE,1,27.82,109.69
boffin.pics,AVAILABLE,0,1.54,26.26
boffin.quest,UNAVAILABLE,0,1.54,12.98
boffin.mom,AVAILABLE,0,1.54,26.26
boffin.beauty,AVAILABLE,0,1.54,12.98
boffin.beer,UNAVAILABLE,0,1.54,26.26
