domain,status,premium,reg_price,renew_price
mist.beauty,AVAILABLE,0,1.54,12.98
mist.beer,AVAILABLE,1,2183.84,27.82
mist.best,UNAVAILABLE,0,1.72,15.96
mist.click,AVAILABLE,1,76.94,109.69
mist.garden,UNAVAILABLE,1,873.85,27.82
mist.hair,AVAILABLE,0,1.54,12.98
mist.monster,UNAVAILABLE,0,1.54,12.98
mist.rest,AVAILABLE,0,1.54,26.26
mist.skin,AVAILABLE,0,1.54,12.98
mist.surf,AVAILABLE,0,1.54,26.26
  💰 PREMIUM: dawn.space reg=$273.44
  ✓ CHEAP: dawn.mom reg=$1.54 renew=$26.26
  ✓ CHEAP: dawn.beauty reg=$1.54 renew=$12.98
  ✓ CHEAP: dawn.beer reg=$1.54 renew=$26.26
  💰 PREMIUM: dawn.click reg=$76.94
  ✓ CHEAP: dawn.hair reg=$1.54 renew=$12.98
  ✓ CHEAP: dawn.monster reg=$1.54 renew=$12.98
  ✓ CHEAP: dawn.skin reg=$1.54 renew=$12.98
  💰 PREMIUM: dawn.surf reg=$87.86
dawn.lol,UNAVAILABLE,0,1.54,26.26
dawn.space,AVAILABLE,1,273.44,1092.18
dawn.pics,UNAVAILABLE,0,1.54,26.26
dawn.quest,UNAVAILABLE,0,1.54,12.98
dawn.mom,AVAILABLE,0,1.54,26.26
dawn.beauty,AVAILABLE,0,1.54,12.98
dawn.beer,AVAILABLE,0,1.54,26.26
dawn.best,UNAVAILABLE,0,1.72,15.96
dawn.click,AVAILABLE,1,76.94,109.69
dawn.garden,UNAVAILABLE,0,1.54,26.26
dawn.hair,AVAILABLE,0,1.54,12.98
dawn.monster,AVAILABLE,0,1.54,12.98
dawn.rest,UNAVAILABLE,0,1.54,26.26
dawn.skin,AVAILABLE,0,1.54,12.98
dawn.surf,AVAILABLE,1,87.86,27.82
  💰 PREMIUM: ruby.space reg=$682.81
  💰 PREMIUM: ruby.quest reg=$710.10
  ✓ CHEAP: ruby.mom reg=$1.54 renew=$26.26
  💰 PREMIUM: ruby.beauty reg=$2183.84
  💰 PREMIUM: ruby.beer reg=$87.86
  💰 PREMIUM: ruby.click reg=$76.94
  💰 PREMIUM: ruby.hair reg=$2183.84
  💰 PREMIUM: ruby.monster reg=$218.86
  💰 PREMIUM: ruby.rest reg=$138.07
  💰 PREMIUM: ruby.skin reg=$2183.84
  💰 PREMIUM: ruby.surf reg=$87.86
ruby.lol,UNAVAILABLE,0,1.54,26.26
ruby.space,AVAILABLE,1,682.81,2729.67
ruby.pics,UNAVAILABLE,0,1.54,26.26
ruby.quest,AVAILABLE,1,710.10,13.74
ruby.mom,AVAILABLE,0,1.54,26.26
ruby.beauty,AVAILABLE,1,2183.84,13.74
ruby.beer,AVAILABLE,1,87.86,27.82
ruby.best,UNAVAILABLE,1,76.94,76.94
