domain,status,premium,reg_price,renew_price
botfly.hair,AVAILABLE,0,1.54,12.98
botfly.monster,AVAILABLE,0,1.54,12.98
botfly.rest,AVAILABLE,0,1.54,26.26
botfly.skin,AVAILABLE,0,1.54,12.98
botfly.surf,AVAILABLE,0,1.54,26.26
bough.lol,AVAILABLE,0,1.54,26.26
bough.space,AVAILABLE,1,68.75,273.44
bough.pics,AVAILABLE,0,1.54,26.26
bough.quest,UNAVAILABLE,0,1.54,12.98
bough.mom,AVAILABLE,0,1.54,26.26
bough.beauty,AVAILABLE,0,1.54,12.98
bough.beer,AVAILABLE,0,1.54,26.26
bough.best,AVAILABLE,0,1.72,15.96
bough.click,AVAILABLE,1,76.94,109.69
bough.garden,UNAVAILABLE,0,1.54,26.26
bough.hair,AVAILABLE,0,1.54,12.98
bough.monster,AVAILABLE,0,1.54,12.98
bough.rest,AVAILABLE,0,1.54,26.26
bough.skin,AVAILABLE,0,1.54,12.98
bough.surf,AVAILABLE,0,1.54,26.26
bract.lol,AVAILABLE,0,1.54,26.26
bract.space,AVAILABLE,1,27.82,109.69
bract.pics,AVAILABLE,0,1.54,26.26
bract.quest,AVAILABLE,0,1.54,12.98
bract.mom,AVAILABLE,0,1.54,26.26
bract.beauty,AVAILABLE,0,1.54,12.98
bract.beer,AVAILABLE,0,1.54,26.26
bract.best,AVAILABLE,0,1.72,15.96
bract.click,AVAILABLE,1,76.94,109.69
bract.garden,AVAILABLE,0,1.54,26.26
bract.hair,AVAILABLE,0,1.54,12.98
bract.monster,AVAILABLE,0,1.54,12.98
bract.rest,AVAILABLE,0,1.54,26.26
bract.skin,AVAILABLE,0,1.54,12.98
bract.surf,AVAILABLE,0,1.54,26.26
brae.lol,AVAILABLE,0,1.54,26.26
brae.space,AVAILABLE,1,68.75,273.44
brae.pics,AVAILABLE,0,1.54,26.26
brae.quest,AVAILABLE,0,1.54,12.98
brae.mom,AVAILABLE,0,1.54,26.26
brae.beauty,AVAILABLE,0,1.54,12.98
brae.beer,AVAILABLE,0,1.54,26.26
brae.best,AVAILABLE,0,1.72,15.96
brae.click,AVAILABLE,1,76.94,109.69
brae.garden,AVAILABLE,0,1.54,26.26
brae.hair,AVAILABLE,0,1.54,12.98
brae.monster,AVAILABLE,0,1.54,12.98
brae.rest,AVAILABLE,0,1.54,26.26
brae.skin,AVAILABLE,0,1.54,12.98
brae.surf,AVAILABLE,0,1.54,26.26
bran.lol,UNAVAILABLE,0,1.54,26.26
bran.space,AVAILABLE,1,136.98,546.35
bran.pics,UNAVAILABLE,0,1.54,26.26
bran.quest,AVAILABLE,0,1.54,12.98
bran.mom,AVAILABLE,0,1.54,26.26
bran.beauty,AVAILABLE,0,1.54,12.98
bran.beer,AVAILABLE,0,1.54,26.26
bran.best,AVAILABLE,0,1.72,15.96
